('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678126 function calls (659768 primitive calls) in 1.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
      199    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4112    0.001    0.000    0.002    0.000 _parser.py:293(tell)
5605/5537    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    42/33    0.000    0.000    0.002    0.000 typing.py:508(__getitem__)
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
        3    0.000    0.000    0.002    0.001 feedparser.py:171(feed)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
     2694    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
      254    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       33    0.000    0.000    0.002    0.000 typing.py:687(Union)
     5578    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2705    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
      895    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       75    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1360    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
     5513    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      880    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
