('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678362 function calls (659984 primitive calls) in 8.725 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       38    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 adapters.py:359(build_response)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     2802    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       99    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
     3131    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
       75    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
     2695    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
     2467    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       42    0.000    0.000    0.001    0.000 response.py:1133(_update_chunk_length)
        9    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
        1    0.000    0.000    0.001    0.001 connection.py:369(request)
     2581    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
