('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         589082 function calls (574211 primitive calls) in 4.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
     5762    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
       16    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       88    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       10    0.000    0.000    0.000    0.000 request.py:434(add_handler)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
     2550    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       26    0.000    0.000    0.000    0.000 typing.py:1242(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:315(__init__)
        1    0.000    0.000    0.000    0.000 request.py:935(AbstractBasicAuthHandler)
     2796    0.000    0.000    0.000    0.000 element.py:2062(descendants)
      347    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        1    0.000    0.000    0.000    0.000 request.py:339(full_url)
     10/7    0.000    0.000    0.000    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 request.py:370(_parse)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       19    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
      829    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       33    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
     2511    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      626    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
     1515    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       21    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 feedparser.py:100(push)
  174/143    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 socket.py:770(close)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        7    0.000    0.000    0.000    0.000 typing.py:687(Union)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  497/496    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      401    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        7    0.000    0.000    0.000    0.000 message.py:494(get)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      125    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       50    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.000    0.000 socket.py:490(_decref_socketios)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:500(close)
      306    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       24    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      160    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 element.py:115(ContentMetaAttributeValue)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       80    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
      644    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
        1    0.000    0.000    0.000    0.000 models.py:244(CharsetMatches)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      296    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      266    0.000    0.000    0.000    0.000 element.py:1543(get)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       31    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 __init__.py:496(DetectsXMLParsedAsHTML)
     1098    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      151    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        3    0.000    0.000    0.000    0.000 typing.py:740(Optional)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      559    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      151    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      259    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       34    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       26    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      845    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       68    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
      338    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      490    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
